ik;I
syn;his
dat;that
hy;he
wie;was
foar;for
op;on
binne;are
mei;with
sy;they
wêze;be
by;at
ien;one
hawwe;have
dit;this
fan;from
troch;by
hyt;hot
wurd;word
mar;but
wat;what
guon;some
is;is
it;it
jo;you
of;or
hie;had
de;the
fan;of
nei;to
en;and
in;a
yn;in
wy;we
kinne;can
út;out
oar;other
wiene;were
dy’t;which
dwaan;do
harren;their
tiid;time
as;if
wil;will
hoe;how
sei;said
an;an
elk;each
fertelle;tell
docht;does
set;set
trije;three
wolle;want
as;as
loft;air
goed;well
ek;also
toanielstik;play
lyts;small
ein;end
sette;put
thús;home
lêze;read
hân;hand
haven;port
grut;large
tsjoen;spell
add;add
sels;even
lân;land
hjir;here
moatte;must
grut;big
heech;high
sok;such
folgje;follow
handeling;act
wêrom;why
freegje;ask
minsken;men
feroaring;change
gie;went
ljocht;light
soart;kind
út;off
need;need
hûs;house
foto;picture
Besykje;try
ús;us
wer;again
bist;animal
punt;point
mem;mother
wrâld;world
tichtby;near
bouwe;build
sels;self
ierde;earth
heit;father
elk;any
nij;new
wurk;work
diel;part
nimme;take
krije;get
plak;place
makke;made
libje;live
wêr;where
efter;after
efter;back
lyts;little
allinnich;only
rûn;round
man;man
jier;year
kaam;came
show;show
elk;every
goed;good
my;me
jaan;give
ús;our
ûnder;under
namme;name
hiel;very
troch;through
krekt;just
foarm;form
sin;sentence
grut;great
tinke;think
sizze;say
help;help
leech;low
rigel;line
ferskille;differ
draaie;turn
oarsaak;cause
folle;much
betsjutte;mean
foar;before
bewege;move
rjochts;right
jonge;boy
âld;old
te;too
selde;same
sy;she
alle;all
dêr;there
Wannear;when
op;up
brûke;use
dyn;your
wei;way
oer;about
folle;many
dan;then
harren;them
skriuwe;write
soe;would
lykas;like
sa;so
dizze;these
har;her
lang;long
meitsje;make
ding;thing
sjen;see
him;him
twa;two
hat;has
sjen;look
mear;more
dei;day
koe;could
gean;go
komme;come
die;did
nûmer;number
sound;sound
nee;no
measte;most
folk;people
myn;my
oer;over
witte;know
wetter;water
as;than
belje;call
earste;first
wa;who
meie;may
omleech;down
side;side
west;been
no;now
fine;find
holle;head
stean;stand
eigen;own
side;page
soene;should
lân;country
fûn;found
antwurd;answer
skoalle;school
groeie;grow
studearje;study
noch;still
leare;learn
fabryk;plant
cover;cover
iten;food
sinne;sun
fjouwer;four
tusken;between
steat;state
hâlde;keep
each;eye
nea;never
lêst;last
litte;let
tins;thought
stêd;city
beam;tree
krús;cross
pleats;farm
hurd;hard
start;start
macht;might
ferhaal;story
saw;saw
fier;far
see;sea
draw;draw
links;left
let;late
run;run
do net;don’t
wylst;while
parse;press
slute;close
nacht;night
real;real
libben;life
stikmannich;few
noard;north
boek;book
drage;carry
naam;took
wittenskip;science
ite;eat
Keamer;room
freon;friend
begûn;began
idee;idea
fisk;fish
berch;mountain
ophâlde;stop
ienris;once
basis;base
hearre;hear
hynder;horse
snije;cut
wis;sure
horloazje;watch
kleur;color
gesicht;face
bosk;wood
