le;pro the / him, her, it, them
de;prep of, from, some, any
un;det, nm, pro a, an, one
à;to, at, in
être;to be / being
et;and
en;in, by
avoir;to have
que;that, which, who, whom
pour;for, in order to
dans;in, into, from
ce;this, that
il;he, it
qui;who, whom
ne;not
sur;on, upon
se;oneself, himself, herself, itself, themselves
pas;not, n't / footstep
plus;more, no more
pouvoir;can, to be able to
par;by
je;I
avec;with
tout;all, very
faire;to do, make
son;his, her, its / sound / bran
mettre;to put, place
autre;other
on;one, we
mais;but
nous;we, us
comme;like, as
ou;or
si;if, whether
leur;them, their, theirs
y;there
dire;to say
elle;she, her
devoir;to have to, owe / duty
avant;before
deux;two
même;same, even, self
prendre;to take
aussi;too, also, as
celui;that, the one, he, him
donner;to give
bien;i,adv,nm well
où;where
fois;time, times
vous;you
encore;again, yet
nouveau;new
aller;to go
cela;that, it
entre;between
premier;first
vouloir;to want
déjà;already
grand;great, big, tall
mon;my
me;me, to me, myself
moins;less
aucun;none, either, neither, not any
lui;him, her
temps;time
très;very
savoir;to know
falloir;to take, require, need
voir;to see
quelque;some
sans;without
raison;reason
notre;our
dont;whose, of which
non;no, not
an;year
monde;world, people
jour;day
monsieur;mister, sir, gentleman
demander;to ask for
alors;then, so
après;after
trouver;to find
personne;person, people, anybody, anyone, nobody
rendre;to render, return, yield, give up
part;share
dernier;last
venir;to come
pendant;during / pendant
passer;to pass
peu;little
lequel;who, whom, which
suite;result, follow-up, rest
bon;good
comprendre;to understand
depuis;since, for
point;point / at all
ainsi;thus
heure;hour
rester;to stay
seul;alone, only
année;year
toujours;always
tenir;to hold
porter;to wear, carry
parler;to speak
fort;strong
montrer;to show
là;there, here
certain;certain, sure
fin;end / gist / clever person
tu;you
continuer;to continue
pays;country
trois;three
penser;to think
lieu;place
partie;part
quand;when
suivre;to follow
contre;against
sous;under
côté;side
ensemble;together
chose;thing
enfant;child
cause;cause
politique;politics / political
place;room, space, square, place
seulement;only
moi;me
vie;life
connaître;to know
jusque;to, up to, until
croire;to believe
homme;man
cas;case
petit;small, little
commencer;to begin, start
